date,Account,daily_pnl,num_trades,wins,avg_trade_size,total_volume,long_count,win_rate,long_ratio,fg_score,sentiment,sentiment_group
2024-01-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,5,0,10001.248,50006.24,5,0.0,1.0,52,Neutral,Neutral
2024-01-16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-3238.8,6,0,10580.346666666666,63482.08,4,0.0,0.6666666666666666,64,Greed,Greed
2024-01-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,939.6285419999999,3,3,17648.416666666668,52945.25,0,1.0,0.0,64,Greed,Greed
2024-01-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,813.2741110000001,53,11,15110.019433962265,800831.03,31,0.20754716981132076,0.5849056603773585,60,Greed,Greed
2024-01-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,68.93319,46,3,9231.120217391304,424631.52999999997,18,0.06521739130434782,0.391304347826087,63,Greed,Greed
2024-01-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-0.20400000000000001,9,1,169.64555555555555,1526.81,4,0.1111111111111111,0.4444444444444444,51,Neutral,Neutral
2024-01-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-384.618935,38,5,11228.517631578947,426683.67,26,0.13157894736842105,0.6842105263157895,51,Neutral,Neutral
2024-01-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-146.57487000000003,106,15,10095.193490566038,1070090.51,60,0.14150943396226415,0.5660377358490566,52,Neutral,Neutral
2024-01-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,266.58114600000005,11,3,9375.43090909091,103129.74,3,0.2727272727272727,0.2727272727272727,56,Greed,Greed
2024-01-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1166.248788,48,14,1125.4704166666668,54022.58,28,0.2916666666666667,0.5833333333333334,55,Greed,Greed
2024-01-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,209.39217099999996,36,9,7881.865555555555,283747.16,22,0.25,0.6111111111111112,55,Greed,Greed
2024-01-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-369.2447299999998,45,11,9211.531777777778,414518.93000000005,33,0.24444444444444444,0.7333333333333333,50,Neutral,Neutral
2024-01-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-2808.353815,67,10,14299.548656716419,958069.76,26,0.14925373134328357,0.3880597014925373,48,Neutral,Neutral
2024-01-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-3093.6293849999997,6,0,11094.355000000001,66566.13,0,0.0,0.0,52,Neutral,Neutral
2024-01-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,90.2,2,1,4627.9,9255.8,1,0.5,0.5,49,Neutral,Neutral
2024-01-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,3,0,839.1366666666667,2517.41,3,0.0,1.0,49,Neutral,Neutral
2024-01-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-2478.06972,11,0,1646.2754545454545,18109.03,0,0.0,0.0,54,Neutral,Neutral
2024-01-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1.71544,2,1,1034.4299999999998,2068.8599999999997,1,0.5,0.5,55,Greed,Greed
2024-01-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,484.847102,72,44,5724.157222222222,412139.32,20,0.6111111111111112,0.2777777777777778,55,Greed,Greed
2024-01-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-173.65419100000003,49,5,8183.905714285715,401011.38,28,0.10204081632653061,0.5714285714285714,61,Greed,Greed
2024-01-31,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-777.154421,843,228,7242.364116251483,6105312.95,459,0.2704626334519573,0.5444839857651246,60,Greed,Greed
2024-02-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,6,0,334.69666666666666,2008.18,6,0.0,1.0,63,Greed,Greed
2024-02-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,456.423473,42,13,11292.343571428572,474278.43,19,0.30952380952380953,0.4523809523809524,63,Greed,Greed
2024-02-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,223.30918699999998,56,6,10782.5,603820.0,18,0.10714285714285714,0.32142857142857145,60,Greed,Greed
2024-02-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,47.62389499999999,35,9,5805.358,203187.53,19,0.2571428571428571,0.5428571428571428,60,Greed,Greed
